loss,delta_loss,lr,grad_norm,update_ratio,layer_grad_mean,layer_grad_std,attn_entropy_mean,attn_entropy_std,fp16_overflow,target
7.213744937526508,-1.984637187808836,3.3881317890172014e-21,22.93875034439742,22.93884572311825,22.072232494287213,23.049526787828736,0.0,0.0,0.0,-0.160073518753051
6.6990165659198615,-0.38724428251986376,3.3881317890172014e-21,22.172555119166297,22.17265351862797,20.377087586641515,22.402193569019257,0.0,0.0,0.0,-0.8946897983551021
3.8220746045773497,-2.188650965417844,3.3881317890172014e-21,10.725190672409719,10.72520010876168,13.83793561267524,10.227982752912991,0.0,0.0,0.0,-0.6289155483245851
1.7997496217260303,-1.5369263529350858,3.3881317890172014e-21,4.569573344994713,4.569533825875222,5.719688222681224,4.391104032366856,0.0,0.0,0.0,-0.169394612312316
1.255048576645792,-0.41010122252488673,3.3881317890172014e-21,1.8229386042843005,1.8228773438891213,3.319094670455527,1.5397002315527748,0.0,0.0,0.0,0.83045756816864
3.925446997831941,2.0417099472523565,3.3881317890172014e-21,2.7692905782512582,2.7692330877728355,4.007752523085824,2.562551757108919,0.0,0.0,0.0,-0.665213823318481
1.7864021969539932,-1.6259360263758842,3.3881317890172014e-21,3.4921533875876554,3.4920966561773454,4.120843880839305,3.3980832074796896,0.0,0.0,0.0,0.314172506332397
2.7966473883371616,0.7756893232933878,3.3881317890172014e-21,3.5461247327675527,3.5460645010697527,4.034790275603084,3.474287976592262,0.0,0.0,0.0,-0.099377632141113
2.477091179636374,-0.23840742877304422,3.3881317890172014e-21,3.381934080617699,3.381869612996546,3.785174036769534,3.323144954499916,0.0,0.0,0.0,-0.61885118484497
0.48712891027741695,-1.5122467860173556,3.3881317890172014e-21,2.4099802240584056,2.409910110106665,2.5208622884655947,2.394294849923879,0.0,0.0,0.0,0.5257744789123531
2.1777960704114867,1.294574104510621,3.3881317890172014e-21,1.8221297638227043,1.8220564238716492,1.9588745650290706,1.8027751023994882,0.0,0.0,0.0,-0.22743523120880102
1.446461074354518,-0.5524268987490799,3.3881317890172014e-21,0.9358321369296189,0.9357562302605131,1.0510942386001654,0.9195722099631821,0.0,0.0,0.0,-0.38516020774841303
0.20794961982800786,-0.9391959299939341,3.3881317890172014e-21,0.8106581837416864,0.8105814427640948,1.0420132600569492,0.7762826914077324,0.0,0.0,0.0,-0.112846612930297
-0.15491710395874703,-0.27143570854191096,3.3881317890172014e-21,0.9080038892689402,0.9079265688005992,1.1057722823704585,0.8791314200334175,0.0,0.0,0.0,0.723543047904968
2.1716896810772375,1.7795369779762855,3.3881317890172014e-21,1.7614208933962994,1.76134320755831,2.0514340951693906,1.718945487039087,0.0,0.0,0.0,-0.8969012498855591
-0.7123633680580965,-2.1940738285866646,3.3881317890172014e-21,2.0500069116944704,2.0499286571585156,2.0421179845034065,2.0509660373467256,0.0,0.0,0.0,0.7041436433792111
1.551863180824734,1.731966269393744,3.3881317890172014e-21,1.7897915453505902,1.7897129688447773,1.7018711624269371,1.8015129805012482,0.0,0.0,0.0,-0.37077212333679205
0.35961768782280235,-0.9039138485415128,3.3881317890172014e-21,1.2223952114283076,1.2223167028676367,1.327987773020195,1.2075775832973235,0.0,0.0,0.0,0.493305206298828
1.9458774734591846,1.2149538098085688,3.3881317890172014e-21,0.5349649932276371,0.5348867468067833,0.6357315016021101,0.5207717994170058,0.0,0.0,0.0,-0.8478673696517941
-0.780503466492256,-2.0738342395737823,3.3881317890172014e-21,0.33754316530245515,0.3374650617008463,0.37138507927766434,0.3331354848056379,0.0,0.0,0.0,0.23839592933654702
-0.013923525844106376,0.5898719979798197,3.3881317890172014e-21,0.2820383480426583,0.2819603787874364,0.4389010176673767,0.2587956844119703,0.0,0.0,0.0,0.415426850318908
1.3219125815398547,1.0239825574544383,3.3881317890172014e-21,0.29936831950591875,0.2992904971453927,0.43610468063107277,0.27941933034949007,0.0,0.0,0.0,0.21828556060791002
2.0238261274667764,0.5405578817136599,3.3881317890172014e-21,0.7459063408915683,0.7458287985825142,0.7288172734565976,0.7484312841125859,0.0,0.0,0.0,-0.7270122766494751
-0.31393622206420896,-1.7774765651773345,3.3881317890172014e-21,0.38047934442126274,0.38040195499924623,0.447857973467995,0.37122045311598495,0.0,0.0,0.0,-0.17082035541534402
-0.8632218507249618,-0.4135973921922424,3.3881317890172014e-21,0.6122098631227622,0.6121328827486288,0.613504212539838,0.6122719337674539,0.0,0.0,0.0,1.180731296539306
