delta_loss,lr,loss,grad_norm
0.0,0.001,2.3029823303222656,0.3875776088158287
-0.0362040996551513,0.001,2.2667782306671143,0.5515236979673936
-0.0605914592742919,0.001,2.2061867713928223,0.7211676347201547
-0.1445429325103759,0.001,2.0616438388824463,0.8635838815873899
-0.1191372871398925,0.001,1.9425065517425537,1.0797890961316656
-0.1275268793106079,0.001,1.8149796724319456,1.298497911882753
-0.1859095096588134,0.001,1.6290701627731323,1.6952346447871367
-0.2352172136306762,0.001,1.393852949142456,1.7732496680525718
-0.1369764804840088,0.001,1.2568764686584473,2.105118868695432
-0.1878042221069336,0.001,1.0690722465515137,2.051931100018225
-0.0841429233551025,0.001,0.9849293231964112,1.8897648658130424
-0.0840617418289184,0.001,0.9008675813674928,2.659995859107045
-0.1732197403907776,0.001,0.7276478409767151,2.627750395650771
-0.0580349564552307,0.001,0.6696128845214844,3.072645515201152
0.0950455665588378,0.001,0.7646584510803223,3.045297500217953
-0.2180081009864807,0.001,0.5466503500938416,3.3382260467052416
-0.0324034690856933,0.001,0.5142468810081482,2.4229168690627967
0.2165874242782592,0.001,0.7308343052864075,4.799244573585583
-0.1745050549507141,0.001,0.5563292503356934,4.136691173450663
0.1026350855827331,0.001,0.6589643359184265,5.077132263449631
-0.1712620258331298,0.001,0.4877023100852966,2.228710154478879
0.1033726334571838,0.001,0.5910749435424805,4.811535622847086
0.0978907942771911,0.001,0.6889657378196716,7.396677240784863
-0.1164728999137878,0.001,0.5724928379058838,6.524446823528449
-0.1959590017795562,0.001,0.3765338361263275,3.4645828139689545
0.2294894754886627,0.001,0.6060233116149902,5.290305611259329
-0.0504415035247802,0.001,0.55558180809021,5.5832301574469385
-0.1494639813899994,0.001,0.4061178267002105,3.801405432226755
-0.0456142425537109,0.001,0.3605035841464996,3.716414326694897
0.075834721326828,0.001,0.4363383054733276,2.6501019038952776
-0.0252781510353088,0.001,0.4110601544380188,2.2487817526103027
0.1730707883834839,0.001,0.5841309428215027,3.402572518429368
-0.1824511885643005,0.001,0.4016797542572021,3.263730170008829
0.0528842210769653,0.001,0.4545639753341675,3.3091155385122617
-0.1561474204063415,0.001,0.2984165549278259,3.746347983806597
-0.0145779252052307,0.001,0.2838386297225952,2.0672176220489464
0.1527185142040252,0.001,0.4365571439266205,4.228214866028398
-0.1995341330766677,0.001,0.2370230108499527,2.458928526295918
0.0513460487127304,0.001,0.2883690595626831,2.454383300048581
0.1117976307868957,0.001,0.4001666903495788,3.367053517152462
0.0286564826965332,0.001,0.428823173046112,3.3358685340686254
-0.0316458046436309,0.001,0.3971773684024811,1.7841415664675533
-0.1098065078258514,0.001,0.2873708605766296,1.3184201445520212
0.0924543142318725,0.001,0.3798251748085022,2.08273393315704
0.0636196136474609,0.001,0.4434447884559631,2.30476813799314
0.1125273704528808,0.001,0.555972158908844,2.485806312397903
-0.2097922563552856,0.001,0.3461799025535583,2.2489963876626624
-0.0760558247566223,0.001,0.270124077796936,1.8768947775220253
-0.0150070190429687,0.001,0.2551170587539673,1.6363141051453605
0.1972705423831939,0.001,0.4523876011371612,3.1534836166095426
-0.0540056824684143,0.001,0.3983819186687469,2.158242661535529
-0.0857190191745758,0.001,0.3126628994941711,1.603173684477564
0.0331453084945678,0.001,0.345808207988739,2.2896446395243
-0.0010352432727813,0.001,0.3447729647159576,2.6484284333523043
0.0117307901382446,0.001,0.3565037548542022,1.936026401727664
