loss,delta_loss,lr,grad_norm,step,regime,step_fraction
2.3029823303222656,0.0,0.001,0.38757760881582876,0,adam_lr1e3,0.0
2.2667782306671143,-0.03620409965515137,0.001,0.5515236979673936,1,adam_lr1e3,0.00033344448149383126
2.2061867713928223,-0.06059145927429199,0.001,0.7211676347201547,2,adam_lr1e3,0.0006668889629876625
2.0616438388824463,-0.14454293251037598,0.001,0.8635838815873899,3,adam_lr1e3,0.0010003334444814939
1.9425065517425537,-0.11913728713989258,0.001,1.0797890961316656,4,adam_lr1e3,0.001333777925975325
1.8149796724319458,-0.1275268793106079,0.001,1.298497911882753,5,adam_lr1e3,0.0016672224074691564
1.6290701627731323,-0.18590950965881348,0.001,1.6952346447871367,6,adam_lr1e3,0.0020006668889629878
1.393852949142456,-0.23521721363067627,0.001,1.7732496680525718,7,adam_lr1e3,0.002334111370456819
1.2568764686584473,-0.1369764804840088,0.001,2.105118868695432,8,adam_lr1e3,0.00266755585195065
1.0690722465515137,-0.1878042221069336,0.001,2.051931100018225,9,adam_lr1e3,0.0030010003334444814
0.9849293231964111,-0.08414292335510254,0.001,1.8897648658130424,10,adam_lr1e3,0.003334444814938313
0.9008675813674927,-0.08406174182891846,0.001,2.659995859107045,11,adam_lr1e3,0.003667889296432144
0.7276478409767151,-0.1732197403907776,0.001,2.627750395650771,12,adam_lr1e3,0.0040013337779259755
0.6696128845214844,-0.05803495645523071,0.001,3.072645515201152,13,adam_lr1e3,0.004334778259419807
0.7646584510803223,0.09504556655883789,0.001,3.0452975002179534,14,adam_lr1e3,0.004668222740913638
0.5466503500938416,-0.2180081009864807,0.001,3.3382260467052416,15,adam_lr1e3,0.005001667222407469
0.5142468810081482,-0.03240346908569336,0.001,2.4229168690627967,16,adam_lr1e3,0.0053351117039013
0.7308343052864075,0.21658742427825928,0.001,4.799244573585583,17,adam_lr1e3,0.0056685561853951315
0.5563292503356934,-0.1745050549507141,0.001,4.136691173450663,18,adam_lr1e3,0.006002000666888963
0.6589643359184265,0.10263508558273315,0.001,5.077132263449631,19,adam_lr1e3,0.006335445148382794
0.48770231008529663,-0.17126202583312988,0.001,2.228710154478879,20,adam_lr1e3,0.006668889629876626
0.5910749435424805,0.10337263345718384,0.001,4.811535622847086,21,adam_lr1e3,0.007002334111370457
0.6889657378196716,0.09789079427719116,0.001,7.396677240784863,22,adam_lr1e3,0.007335778592864288
0.5724928379058838,-0.11647289991378784,0.001,6.524446823528449,23,adam_lr1e3,0.00766922307435812
0.3765338361263275,-0.19595900177955627,0.001,3.4645828139689545,24,adam_lr1e3,0.008002667555851951
0.6060233116149902,0.22948947548866272,0.001,5.290305611259329,25,adam_lr1e3,0.008336112037345782
0.55558180809021,-0.05044150352478027,0.001,5.5832301574469385,26,adam_lr1e3,0.008669556518839614
0.40611782670021057,-0.1494639813899994,0.001,3.801405432226755,27,adam_lr1e3,0.009003001000333445
0.36050358414649963,-0.04561424255371094,0.001,3.716414326694897,28,adam_lr1e3,0.009336445481827277
0.43633830547332764,0.075834721326828,0.001,2.6501019038952776,29,adam_lr1e3,0.009669889963321108
0.4110601544380188,-0.025278151035308838,0.001,2.2487817526103027,30,adam_lr1e3,0.010003334444814937
0.5841309428215027,0.1730707883834839,0.001,3.402572518429368,31,adam_lr1e3,0.010336778926308769
0.40167975425720215,-0.18245118856430054,0.001,3.263730170008829,32,adam_lr1e3,0.0106702234078026
0.4545639753341675,0.05288422107696533,0.001,3.3091155385122617,33,adam_lr1e3,0.011003667889296432
0.2984165549278259,-0.15614742040634155,0.001,3.746347983806597,34,adam_lr1e3,0.011337112370790263
0.2838386297225952,-0.014577925205230713,0.001,2.0672176220489464,35,adam_lr1e3,0.011670556852284094
0.4365571439266205,0.15271851420402527,0.001,4.228214866028398,36,adam_lr1e3,0.012004001333777926
0.2370230108499527,-0.19953413307666779,0.001,2.458928526295918,37,adam_lr1e3,0.012337445815271757
0.2883690595626831,0.05134604871273041,0.001,2.454383300048581,38,adam_lr1e3,0.012670890296765588
0.40016669034957886,0.11179763078689575,0.001,3.367053517152462,39,adam_lr1e3,0.01300433477825942
0.42882317304611206,0.028656482696533203,0.001,3.3358685340686254,40,adam_lr1e3,0.013337779259753251
0.3971773684024811,-0.03164580464363098,0.001,1.7841415664675533,41,adam_lr1e3,0.013671223741247083
